,,,,,,,,,,,,,,
,Gluten,Crustaceas,Egg,Fish,Peanuts,Soybeans,Nuts,Milk,Sulphites,Celery,Mustard,Sesame,Clams,Lupin
"GIANT BELGIAN WAFFLE W/STRAWBERRIES, PECAN AND C",Contains,,Contains,,Contains,,Contains,Contains,,,,,,
BUTTERMILK PANCAKES,Contains,,Contains,,,,,Contains,,,,,,
BUTTERMILK PANCAKES W/BLUEBERRIES,Contains,,Contains,,,,,Contains,,,,,,
CINNAMON ROLL PANCAKES,Contains,,Contains,,,,,Contains,,,,,,
LEMON-RICOTTA PANCAKES,Contains,,Contains,,,,,Contains,,,,,,
BREAKFAST COMBO,Contains,,Contains,,,,,Contains,,Contains,,,,
BRULÉED FRENCH TOAST,Contains,,Contains,,,,,Contains,,,,,,
BRULÉED FRENCH TOAST WITH BACON,Contains,,Contains,,,,,Contains,,,,,,
BRULÉED FRENCH TOAST WITH TURKEY HAM,Contains,,Contains,,,,,Contains,,,,,,
EGGS BENEDICT WITH TURKEY HAM,Contains,,Contains,Contains,,Contains,,Contains,,Contains,,,,
FRIED CHICKEN & WAFFLES,Contains,,Contains,,,Contains,,Contains,,Contains,,,,
FRIED CHICKEN & WAFFLES BENEDICT,Contains,,Contains,Contains,,Contains,,Contains,,,,,,
GREEN CHILAQUILES WITH SPICY CHICKEN AND EGGS,Contains,,Contains,,,Contains,,Contains,,Contains,,,,
MONTE CRISTO SANDWICH,Contains,,Contains,,,Contains,,Contains,,Contains,,,,
JAMBALAYA HASH & EGGS,Contains,,Contains,Contains,,Contains,May Contain,Contains,Contains,Contains,,May Contain,,
KIDS' BREAKFAST PANCAKES,Contains,,Contains,,,,,Contains,,,,,,
KIDS' BREAKFAST FRENCH TOAST,Contains,,Contains,,,,,Contains,,,,,,
ORIGINAL CHEESECAKE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
FRESH STRAWBERRY CHEESECAKE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
GODIVA® CHOCOLATE CHEESECAKE,May Contain,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
OREO DREAM EXTREME CHEESECAKE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
ULTIMATE RED VELVET CHEESECAKE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
REESE'S PEANUT BUTTER CHOCOLATE CHEESECAKE,Contains,,Contains,,Contains,Contains,May Contain,Contains,,,,,,
COCONUT CREAM PIE CHEESECAKE,Contains,,Contains,,May Contain,Contains,Contains,Contains,Contains,,,,,
PINEAPPLE UPSIDE-DOWN CHEESECAKE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,Contains,,,,,
CARAMEL APPLE CHEESECAKE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
ADAMS'PEANUT BUTTER CUP FUDGE RIPPLE,Contains,,Contains,,Contains,Contains,May Contain,Contains,,,,,,
VERY CHERRY CHOCOLATE CHEESECAKE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
CINNABON CINNAMON SWIRL CHEESECAKE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
SALTED CARAMEL CHEESECAKE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
DULCE DE LECHE CARAMEL CHEESECAKE,Contains,,Contains,,May Contain,Contains,Contains,Contains,,,,,,
WHITE CHOCOLATE RASPBERRY TRUFFLE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
MANGO KEY LIME CHEESECAKE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
FRESH BANANA CREAM CHEESECAKE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
CHOCOLATE MOUSSE CHEESECAKE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
30TH ANNIVERSARY CHOCOLATE CHEESECAKE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
CHOCOLATE CARAMELICIOUS CHEESECAKE MADE WITH SN,Contains,,Contains,,Contains,Contains,May Contain,Contains,,,,,,
CHOCOLATE TUXEDO CREAM CHEESCAKE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
HERSHEY’S® CHOCOLATE BAR CHEESECAKE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
KEY LIME CHEESECAKE,Contains,,Contains,,May Contain,May Contain,May Contain,Contains,,,,,,
LOW-LICIOUS CHEESECAKE,May Contain,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
LOW-LICIOUS CHEESECAKE WITH STRAWBERRIES,May Contain,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
CARAMEL PECAN TURTLE CHEESECAKE,Contains,,Contains,,May Contain,Contains,Contains,Contains,,,,,,
WITH ICE CREAM,,,Contains,,,,,Contains,,,,,,
WITH HOT FUDGE,,,,,,Contains,May Contain,Contains,,,,,,
SPECIALTY DESSERTS,,,,,,,,,,,,,,
LINDA'S FUDGE CAKE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
CARROT CAKE,Contains,,Contains,,Contains,May Contain,Contains,Contains,,,,,,
CHOCOLATE TOWER TRUFFLE CAKE,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
BOWL OF FRESH STRAWBERRIES,,,,,,,,Contains,,,,,,
ICE CREAM DELIGHTS,,,,,,,,,,,,,,
HOT FUDGE SUNDAE,,,Contains,,,Contains,Contains,Contains,Contains,,,,,
GODIVA® CHOCOLATE BROWNIE SUNDAE,Contains,,Contains,,May Contain,Contains,Contains,Contains,,,,,,
STRAWBERRY CAKE SUNDAE,Contains,,Contains,,,,,Contains,,,,,,
BOWL OF ICE CREAM,,,Contains,,,,,Contains,,,,,,
LOTUS® COOKIE MILKSHAKE,Contains,,Contains,,,Contains,,Contains,,,,,,
OREO MILKSHAKE,Contains,,Contains,,,Contains,,Contains,,,,,,
CHOCOLATE MILKSHAKE,,,Contains,,,Contains,,Contains,,,,,,
VANILLA MILKSHAKE,,,Contains,,,Contains,,Contains,Contains,,,,,
STRAWBERRY MILKSHAKE,,,Contains,,,,,Contains,,,,,,
ESPRESSO BEVERAGES,,,,,,,,,,,,,,
CAFÉ LATTE,,,,,,,,Contains,,,,,,
CARAMEL ROYALE MACCHIATO,,,,,,,,Contains,,,,,,
CINNAMON VANILLA LATTE,,,,,,,,Contains,,,,,,
LOTUS® COOKIE LATTE,Contains,,,,,Contains,,Contains,,,,,,
CAFÉ MOCHA,,,,,,Contains,May Contain,Contains,,,,,,
CAPPUCINO,,,,,,Contains,,Contains,,,,,,
CAFÉ AMERICANA,,,,,,,,,,,,,,
FLAT WHITE,,,,,,,,Contains,,,,,,
DOUBLE ESPRESSO,,,,,,,,,,,,,,
COLD BREW COFFEE,,,,,,,,,,,,,,
FACTORY HOT CHOCOLATE,,,,,,Contains,May Contain,Contains,,,,,,
CERTIFIED ORGANIC BLACK AND HERB TEAS,,,,,,,,,,,,,,
FRESH BREWED BLACK ICED TEA,,,,,,,,,,,,,,
FRESH BREWED GREEN-MINT ICED TEA,,,,,,,,,,,,,,
THE CHEESECAKE FACTORY HOUSEMADE LEMONADES,,,,,,,,,,,,,,
CLASSIC,,,,,,,,,,,,,,
STRAWBERRY,,,,,,,,,,,,,,
RASPBERRY,,,,,,,,,,,,,,
CUCUMBER,,,,,,,,,,,,,,
ARNOLD PALMER,,,,,,,,,,,,,,
BEVERAGES,,,,,,,,,,,,,,
CRANBERRY JUICE,,,,,,,,,,,,,,
FRESH ORANGE JUICE,,,,,,,,,,,,,,
EVIAN WATER,,,,,,,,,,,,,,
SAN PELLEGRINO WATER,,,,,,,,,,,,,,
NON-ALCOHOLIC BEER,Contains,,,,,,,,,,,,,
SOFT DRINKS,,,,,,,,,,,,,,
COCA-COLA,,,,,,,,,,,,,,
COKE ZERO,,,,,,,,,,,,,,
SPRITE,,,,,,,,,,,,,,
FANTA ORANGE,,,,,,,,,,,,,,
SKINNYLICIOUS™,,,,,,,,,,,,,,
SMALL PLATES,,,,,,,,,,,,,,
ASIAN CHICKEN LETTUCE WRAP TACOS,Contains,,,Contains,Contains,Contains,Contains,,Contains,,Contains,Contains,,
SKINNYLICIOUS™ SALMON ROLLS,Contains,,Contains,Contains,,Contains,,Contains,Contains,,Contains,Contains,,
CRISPY BRUSSELS SPROUTS,,,,,,Contains,,Contains,,,,,,
CRISPY TEMPURA SHRIMP,Contains,Contains,Contains,May Contain,,Contains,,,Contains,,Contains,Contains,,
SALADS,,,,,,,,,,,,,,
SKINNYLICIOUS™ FACTORY CHOPPED SALAD,Contains,,,,,Contains,,Contains,Contains,Contains,Contains,,,
SKINNYLICIOUS™ ASIAN CHICKEN SALAD,Contains,May Contain,Contains,,,Contains,Contains,Contains,,Contains,,Contains,May Contain,
MEXICAN TORTILLA SALAD,Contains,,Contains,,,Contains,,Contains,Contains,Contains,Contains,,,
SPECIALTIES,,,,,,,,,,,,,,
SKINNYLICIOUS™ HAMBURGER,Contains,,Contains,,,Contains,,,Contains,Contains,Contains,,,
SKINNYLICIOUS™ GRILLED TURKEY BURGER,Contains,,Contains,,,Contains,,Contains,Contains,Contains,Contains,,,
SKINNYLICIOUS™ TURKEY & AVOCADO SANDWICH,Contains,,Contains,,,Contains,,,Contains,Contains,Contains,,,
SKINNYLICIOUS™ FRIED CHICKEN SANDWICH,Contains,,Contains,Contains,,Contains,,Contains,Contains,Contains,Contains,,,
SKINNYLICIOUS™ SPICY FRIED CHICKEN SANDWICH,Contains,,Contains,,,Contains,,Contains,Contains,Contains,Contains,,,
SKINNYLICIOUS™ SOFT TACOS - CHICKEN,Contains,,,,,Contains,,Contains,Contains,Contains,,,,
SKINNYLICIOUS™ SOFT TACOS - SHRIMP,Contains,Contains,,May Contain,,Contains,,Contains,Contains,Contains,,,,
SKINNYLICIOUS™ CHICKEN PASTA,Contains,,Contains,,,,,Contains,,,,,,
TUSCAN CHICKEN,Contains,,Contains,,,Contains,,Contains,Contains,Contains,Contains,,,
LEMON-GARLIC SHRIMP,Contains,Contains,Contains,Contains,,Contains,May Contain,Contains,May Contain,Contains,,,,
SKINNYLICIOUS™ GRILLED SALMON,Contains,,Contains,Contains,,Contains,May Contain,Contains,Contains,Contains,Contains,,,
GRILLED STEAK MEDALLIONS,Contains,,Contains,,,Contains,,Contains,Contains,Contains,,,,May Contain
WITH FRENCH FRIES,,,,,,Contains,,,,Contains,,,,
WITH FRESH FRUIT,,,,,,,,,,,,,,
LEMONADE,,,,,,,,,,,,,,
APPLE JUICE,,,,,,,,,,,,,,
MILK,,,,,,,,Contains,,,,,,
SODA,,,,,,,,,,,,,,
KIDS’ ROADSIDE SLIDERS,Contains,,,,,Contains,,,,Contains,,,,
KIDS’ SOUTHERN FRIED CHICKEN SLIDERS,Contains,,Contains,,,Contains,,Contains,,Contains,Contains,,,
KIDS’ MINI CORN HOTDOGS,Contains,May Contain,Contains,May Contain,May Contain,Contains,May Contain,Contains,May Contain,May Contain,May Contain,May Contain,May Contain,
KIDS’ PASTA BUTTER AND PARMESAN,Contains,,Contains,,,,,Contains,,,,,,
KIDS’ PASTA MARINARA SAUCE,Contains,,Contains,,,,,,,,,,,
KIDS’ PASTA ALFREDO SAUCE,Contains,,Contains,,,,,Contains,,,,,,
KIDS’ SPAGHETTI WITH MEATBALLS,Contains,,Contains,,,,,Contains,,Contains,Contains,,,
KIDS’ MACARONI AND CHEESE,Contains,,Contains,,,Contains,,Contains,,,,,,
KIDS’ FRIED CHICKEN STRIPS,Contains,,Contains,Contains,,Contains,,Contains,Contains,,Contains,,,
KIDS’ FLATBREAD PIZZA - CHEESE,Contains,,Contains,,,,,Contains,,,,,,
KIDS’ FLATBREAD PIZZA - PEPPERONI,Contains,,Contains,,,,,Contains,,,,,,
KIDS’ QUESADILLA,Contains,,,,,Contains,,Contains,,,,,,
KIDS’ QUESADILLA WITH CHICKEN,Contains,,,,,Contains,,Contains,,,,,,
KIDS’ GRILLED CHEESE SANDWICH,Contains,,Contains,,,Contains,,Contains,,,,,,
KIDS’ GRILLED CHICKEN,Contains,,,,,Contains,,Contains,,,,,,May Contain
KIDS’ GRILLED SALMON,Contains,,,Contains,,Contains,,Contains,,,,,,
KIDS’ SCOOP OF ICE CREAM,,,Contains,,,,,Contains,,,,,,
KIDS’ MINI HOT FUDGE SUNDAE,,,Contains,,,Contains,May Contain,Contains,Contains,,,,,
KIDS’ STRAWBERRIES,,,,,,,,,,,,,,
