,,,,,,,,,,,,,,
,Gluten,Crustaceas,Egg,Fish,Peanuts,Soybeans,Nuts,Milk,Sulphites,Celery,Mustard,Sesame,Clams,Lupin
MARGHERITA FLATBREAD PIZZA,Contains,,Contains,,,,,Contains,,,,,,
"FRESH, BASIL,TOMATO AND CHEESE FLATBREAD PIZZA",Contains,,Contains,,,,,Contains,,,,,,
SPINACH AND MUSHROOM FLATBREAD PIZZA,Contains,,Contains,,,,,Contains,,,,,,
THE EVERYTHING FLATBREAD PIZZA,Contains,,Contains,,,,,Contains,,Contains,Contains,,,
THE EVERYTHING WITH KALAMATA OLIVES FLATBREAD PIZ,Contains,,Contains,,,,,Contains,,Contains,Contains,,,
MOLTO MEAT FLATBREAD PIZZA,Contains,,Contains,Contains,,Contains,,Contains,May Contain,Contains,Contains,,,
LUNCH SPECIALS,,,,,,,,,,,,,,
RENEE'S SPECIAL,,,,,,,,,,,,,,
ROASTED TURKEY SANDWICH,Contains,,Contains,,,Contains,,Contains,Contains,,Contains,,,
CHICKEN-ALMOND SALAD SANDWICH,Contains,,Contains,Contains,,Contains,Contains,Contains,Contains,Contains,Contains,,,
GREEN SALAD,Contains,,Contains,Contains,,Contains,May Contain,Contains,Contains,Contains,Contains,,,
CASESAR SALAD,Contains,,Contains,Contains,,Contains,May Contain,Contains,Contains,,Contains,,,
WILD MUSHROOM,Contains,,,,,Contains,,Contains,Contains,Contains,,,,
BUTTERNUT SQUASH,Contains,,May Contain,,May Contain,Contains,May Contain,Contains,,,,,,
CREAM OF BROCCOLI,Contains,,Contains,,,Contains,May Contain,Contains,,Contains,,,,
BAKED POTATO SOUP,,,,Contains,,Contains,,Contains,,Contains,,,,May Contain
MEXICAN CHICKEN & VEGETABLE,Contains,,,,,Contains,,Contains,Contains,Contains,,,,
RUSTIC LENTIL,,,,,,Contains,,,,Contains,,,,
CHICKEN TORTILLA,Contains,,,,,Contains,,Contains,,Contains,,,,
LUNCH SOUP AND SALAD,,,,,,,,,,,,,,
GREEN SALAD,Contains,,Contains,Contains,,Contains,May Contain,Contains,Contains,Contains,Contains,,,
CASESAR SALAD,Contains,,Contains,Contains,,Contains,May Contain,Contains,Contains,,Contains,,,
WILD MUSHROOM,Contains,,,,,Contains,,Contains,Contains,Contains,,,,
BUTTERNUT SQUASH,Contains,,Contains,,May Contain,Contains,May Contain,Contains,,,,,,
CREAM OF BROCCOLI,Contains,,Contains,,,Contains,May Contain,Contains,,Contains,,,,
BAKED POTATO SOUP,,,,Contains,,Contains,,Contains,,Contains,,,,May Contain
MEXICAN CHICKEN & VEGETABLE,Contains,,,,,Contains,,Contains,Contains,Contains,,,,
RUSTIC LENTIL,,,,,,Contains,,,,Contains,,,,
CHICKEN TORTILLA,Contains,,,,,Contains,,Contains,,Contains,,,,
GREEN SALAD,Contains,,Contains,Contains,,Contains,May Contain,Contains,Contains,Contains,Contains,,,
CASESAR SALAD,Contains,,Contains,Contains,,Contains,May Contain,Contains,Contains,,Contains,,,
CHEESE FLATBREAD PIZZA,Contains,,Contains,,,,,Contains,,,,,,
PEPPERONI FLATBREAD PIZZA,Contains,,Contains,,,,,Contains,,,,,,
MARGHERITA FLATBREAD PIZZA,Contains,,Contains,,,,,Contains,,,,,,
"FRESH, BASIL,TOMATO AND CHEESE FLATBREAD",Contains,,Contains,,,,,Contains,,,,,,
SPINACH AND MUSHROOM FLATBREAD PIZZA,Contains,,Contains,,,,,Contains,,,,,,
THE EVERYTHING FLATBREAD PIZZA,Contains,,Contains,,,,,Contains,,Contains,Contains,,,
THE EVERYTHING WITH KALAMATA OLIVES FLAT,Contains,,Contains,,,,,Contains,,Contains,Contains,,,
MOLTO MEAT FLATBREAD PIZZA,Contains,,Contains,Contains,,Contains,May Contain,Contains,Contains,Contains,Contains,,,
COBB SALAD,Contains,,Contains,,,Contains,,Contains,Contains,,Contains,,,
SHEILA'S CHICKEN & AVOCADO SALAD,Contains,,,,Contains,Contains,Contains,Contains,Contains,,Contains,Contains,,
CHINESE CHICKEN SALAD,Contains,May Contain,Contains,,,Contains,Contains,Contains,Contains,,Contains,Contains,May Contain,
BARBEQUE RANCH CHICKEN SALAD,Contains,,Contains,Contains,,Contains,,Contains,Contains,Contains,Contains,,,
LUAU SALAD,Contains,,Contains,,Contains,Contains,Contains,Contains,Contains,,Contains,Contains,,
SANTA FE SALAD,Contains,,Contains,,Contains,Contains,,Contains,Contains,Contains,Contains,,,
LUNCH FAVORITES,,,,,,,,,,,,,,
FAMOUS FACTORY MEATLOAF,Contains,,Contains,,,Contains,,Contains,Contains,Contains,,,,May Contain
SHEPHERD'S PIE,Contains,,Contains,,,Contains,,Contains,Contains,Contains,,,,May Contain
FISH & CHIPS,Contains,,Contains,Contains,,Contains,,Contains,Contains,Contains,Contains,,,
LUNCH PASTA,,,,,,,,,,,,,,
FETTUCCINI ALFREDO,Contains,,Contains,,,Contains,,Contains,,,,,,
FOUR CHEESE PASTA,Contains,,Contains,,,,,Contains,,,,,,
SPAGHETTI AND MEATBALLS,Contains,,Contains,,,,,Contains,,Contains,Contains,,,
PASTA CARBONARA,Contains,,Contains,,,Contains,,Contains,May Contain,Contains,,,,
CHICKEN & BROCCOLI PASTA,Contains,,Contains,,,Contains,May Contain,Contains,May Contain,Contains,,,,
EVELYN'S FAVORITE PASTA,Contains,,Contains,,,Contains,May Contain,Contains,May Contain,,,,,
PASTA DA VINCI,Contains,,Contains,,,Contains,,Contains,Contains,Contains,,,,
LOUISIANA CHICKEN PASTA,Contains,,Contains,Contains,,Contains,,Contains,May Contain,,,,,
SPICY CHICKEN CHIPOTLE PASTA,Contains,,Contains,,,,,Contains,,,,,,
LUNCH CHICKEN SPECIALS,,,,,,,,,,,,,,
CRUSTED CHICKEN ROMANO,Contains,,Contains,,,,,Contains,,,,,,
CHICKEN PICCATA,Contains,,Contains,Contains,,Contains,,Contains,May Contain,Contains,,,,
ORANGE CHICKEN,Contains,,,,,Contains,,,Contains,,,Contains,,
LUNCH SALMON,,,,,,,,,,,,,,
HERB CRUSTED FILET OF SALMON,,,,Contains,,Contains,,Contains,Contains,Contains,Contains,,,May Contain
MISO SALMON,,,,Contains,,Contains,,Contains,May Contain,,,,,
FRESH GRILLED SALMON,Contains,,Contains,Contains,,Contains,,Contains,Contains,Contains,Contains,,,
GLAMBURGERS,,,,,,,,,,,,,,
WITH FRENCH FRIES,,,,,,Contains,,,,Contains,,,,
WITH TOSSED GREEN SALAD,Contains,,Contains,Contains,,Contains,May Contain,Contains,Contains,Contains,Contains,,,
